date_id,date,year,month,day,quarter,week,is_holiday
127,2019-05-07,2019,5,7,2,18,0
128,2019-05-08,2019,5,8,2,18,0
129,2019-05-09,2019,5,9,2,18,0
130,2019-05-10,2019,5,10,2,18,0
131,2019-05-11,2019,5,11,2,18,0
132,2019-05-12,2019,5,12,2,19,0
133,2019-05-13,2019,5,13,2,19,0
134,2019-05-14,2019,5,14,2,19,0
135,2019-05-15,2019,5,15,2,19,0
136,2019-05-16,2019,5,16,2,19,0
137,2019-05-17,2019,5,17,2,19,0
138,2019-05-18,2019,5,18,2,19,0
139,2019-05-19,2019,5,19,2,20,0
140,2019-05-20,2019,5,20,2,20,0
141,2019-05-21,2019,5,21,2,20,0
142,2019-05-22,2019,5,22,2,20,0
143,2019-05-23,2019,5,23,2,20,0
144,2019-05-24,2019,5,24,2,20,0
145,2019-05-25,2019,5,25,2,20,0
146,2019-05-26,2019,5,26,2,21,0
147,2019-05-27,2019,5,27,2,21,0
148,2019-05-28,2019,5,28,2,21,0
149,2019-05-29,2019,5,29,2,21,0
150,2019-05-30,2019,5,30,2,21,0
151,2019-05-31,2019,5,31,2,21,0
152,2019-06-01,2019,6,1,2,21,0
153,2019-06-02,2019,6,2,2,22,0
154,2019-06-03,2019,6,3,2,22,0
155,2019-06-04,2019,6,4,2,22,0
156,2019-06-05,2019,6,5,2,22,0
157,2019-06-06,2019,6,6,2,22,0
158,2019-06-07,2019,6,7,2,22,0
159,2019-06-08,2019,6,8,2,22,0
160,2019-06-09,2019,6,9,2,23,0
161,2019-06-10,2019,6,10,2,23,0
162,2019-06-11,2019,6,11,2,23,0
163,2019-06-12,2019,6,12,2,23,0
164,2019-06-13,2019,6,13,2,23,0
165,2019-06-14,2019,6,14,2,23,0
166,2019-06-15,2019,6,15,2,23,0
167,2019-06-16,2019,6,16,2,24,0
168,2019-06-17,2019,6,17,2,24,0
169,2019-06-18,2019,6,18,2,24,0
170,2019-06-19,2019,6,19,2,24,0
171,2019-06-20,2019,6,20,2,24,0
172,2019-06-21,2019,6,21,2,24,0
173,2019-06-22,2019,6,22,2,24,0
174,2019-06-23,2019,6,23,2,25,0
175,2019-06-24,2019,6,24,2,25,0
176,2019-06-25,2019,6,25,2,25,0
177,2019-06-26,2019,6,26,2,25,0
